Coaching,Flag,Event ID,Recorded Date,Severity,Score,Observations,Vehicle,Driver ID
Coached,Not Flagged,9096-1480Z,19-Apr-18,Category 2,195,Incomplete Stop at Light,11002,1800
Not In Queue,Not Flagged,9096-147ZQ,19-Apr-18,Category 1,49,Unsafe Following (3.25 - 4 seconds),10028,911
Not In Queue,Not Flagged,9096-147Z5,19-Apr-18,Category 1,49,Moderate Speeding (<= 10 mph Over Limit),6030,423
Not In Queue,Not Flagged,9096-147YW,19-Apr-18,Category 1,49,Unsafe Following (3.25 - 4 seconds),10055,808
Queued,Not Flagged,9096-147YB,19-Apr-18,Category 3,226,Unsafe Following (1.25 - 2 seconds),10055,808
Not In Queue,Not Flagged,9096-147X6,19-Apr-18,Category 1,49,Moderate Speeding (<= 10 mph Over Limit),10004,950
Queued,Not Flagged,9096-147T7,19-Apr-18,Category 2,195,Incomplete Stop at Stop Sign,12047,609
Queued,Not Flagged,9096-147SB,19-Apr-18,Category 3,200,Curb Check/Jumped Curb,9013,275
,Not Flagged,9096-147RJ,19-Apr-18,Category 2,195,Incomplete Stop at Stop Sign,16207,1041
Queued,Not Flagged,9096-147RC,19-Apr-18,Category 3,226,Unsafe Braking,9013,275
Not In Queue,Not Flagged,9096-147QP,19-Apr-18,Category 1,49,Moderate Speeding (<= 10 mph Over Limit),7022,2196
Not In Queue,Not Flagged,9096-147Q9,19-Apr-18,Category 1,49,Moderate Speeding (<= 10 mph Over Limit),13003,515
Queued,Not Flagged,9096-147PJ,16-Apr-18,Category 3,226,Unsafe Braking,17036,2164
Queued,Not Flagged,9096-147PF,16-Apr-18,Category 3,226,Unsafe Braking,17036,2164
Queued,Not Flagged,9096-147MT,19-Apr-18,Category 3,226,Unsafe Braking,12022,7
Coached,Not Flagged,9096-147KM,19-Apr-18,Category 3,226,Unsafe Following (1.25 - 2 seconds),9932,864
Queued,Not Flagged,9096-148X4,20-Apr-18,Category 4,324,"Moderate Speeding (<= 10 mph Over Limit), Unsafe Following (<= 1 second)",5070,2123
Queued,Not Flagged,9096-148VP,20-Apr-18,Category 2,195,Incomplete Stop at Stop Sign,16209,2123
